id,Lisboa,Result,Log,Order,comissao_coordenadora,grupo_contacto,Apoio_Contacto,Apoio_Coordenadora,Age,Internet,Previous.party,Female
619,NA,NA,NA,NA,0,0,1,2,NA,NA,NA,NA
620,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
621,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
622,1,10.01,2.3035845933,2,0,0,2,1,61,1,0,1
623,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
624,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
625,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
626,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
627,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
628,NA,NA,NA,NA,0,0,0,2,NA,NA,NA,NA
629,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
630,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
631,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
632,NA,NA,NA,NA,0,0,0,2,NA,NA,NA,NA
633,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
634,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
635,NA,NA,NA,NA,0,0,0,2,NA,NA,NA,NA
636,1,5.61,1.7245507195,2,0,0,3,2,80,1,1,1
637,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
638,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
639,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
640,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
641,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
642,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
643,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
644,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
645,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
646,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
647,1,6.09,1.8066480817,1,0,0,0,3,57,1,1,1
648,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
649,1,9.11,2.2093727113,1,0,0,2,0,52,1,0,1
650,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA
651,NA,NA,NA,NA,0,0,3,1,NA,NA,NA,NA
652,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
653,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
654,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
655,NA,NA,NA,NA,0,0,1,6,NA,NA,NA,NA
656,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
657,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
658,1,3.89,1.3584091576,1,0,0,1,0,54,0,0,1
659,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
660,1,3.28,1.1878434224,1,0,0,3,0,55,1,0,1
